Largest Z = 90
time = 1e-20
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 0
Yh_nse = 6.19673e-13
24 0.000000e+00 1.098835e-69 3.727469e-90
25 0.000000e+00 1.766092e-72 5.990937e-93
26 0.000000e+00 3.986645e-75 1.352350e-95
27 0.000000e+00 3.415780e-78 1.158701e-98
28 0.000000e+00 2.832979e-81 9.610032e-102
29 0.000000e+00 5.531576e-85 1.876421e-105
30 0.000000e+00 1.178725e-88 3.998472e-109
31 0.000000e+00 1.449822e-92 4.918088e-113
32 0.000000e+00 1.415530e-96 4.801761e-117
33 0.000000e+00 1.521341e-100 5.160693e-121
34 0.000000e+00 1.792448e-104 6.080341e-125
35 0.000000e+00 2.326997e-108 7.893638e-129
36 0.000000e+00 4.811913e-112 1.632297e-132
37 0.000000e+00 6.006813e-116 2.037631e-136
38 0.000000e+00 1.572058e-119 5.332735e-140
39 0.000000e+00 1.688922e-123 5.729162e-144
40 0.000000e+00 3.349867e-127 1.136342e-147
41 0.000000e+00 5.375171e-131 1.823365e-151
42 0.000000e+00 9.421873e-135 3.196088e-155
43 0.000000e+00 1.263442e-138 4.285850e-159
44 0.000000e+00 1.828052e-142 6.201117e-163
45 0.000000e+00 1.676787e-146 5.687997e-167
46 0.000000e+00 9.540836e-151 3.236442e-171
47 0.000000e+00 3.980687e-155 1.350329e-175
48 0.000000e+00 1.430582e-159 4.852819e-180
49 0.000000e+00 2.411254e-164 8.179455e-185
50 0.000000e+00 2.122474e-169 7.199855e-190
51 0.000000e+00 3.761969e-174 1.276135e-194
52 0.000000e+00 2.032322e-179 6.894043e-200
53 0.000000e+00 1.053744e-184 3.574512e-205
54 0.000000e+00 6.358560e-190 2.156951e-210
55 0.000000e+00 3.389160e-195 1.149671e-215
56 0.000000e+00 3.617725e-200 1.227205e-220
57 0.000000e+00 1.997584e-205 6.776203e-226
58 0.000000e+00 1.432343e-210 4.858793e-231
59 0.000000e+00 5.964160e-216 2.023162e-236
60 0.000000e+00 3.575726e-221 1.212958e-241
61 0.000000e+00 1.347185e-226 4.569923e-247
62 0.000000e+00 7.123419e-232 2.416406e-252
63 0.000000e+00 1.653927e-237 5.610452e-258
64 0.000000e+00 5.837742e-243 1.980279e-263
65 0.000000e+00 1.170078e-248 3.969140e-269
66 0.000000e+00 5.319701e-254 1.804549e-274
67 0.000000e+00 8.062227e-260 2.734869e-280
68 0.000000e+00 3.978330e-265 1.349529e-285
69 0.000000e+00 4.666045e-271 1.582816e-291
70 0.000000e+00 1.037874e-276 3.520676e-297
71 0.000000e+00 8.920473e-283 3.026003e-303
72 0.000000e+00 1.028014e-288 3.487230e-309
73 0.000000e+00 5.222252e-295 1.771492e-315
74 0.000000e+00 5.057969e-301 1.719348e-321
75 0.000000e+00 2.370283e-307 0.000000e+00
76 0.000000e+00 4.527173e-313 0.000000e+00
77 0.000000e+00 2.938208e-320 0.000000e+00
78 0.000000e+00 0.000000e+00 0.000000e+00
79 0.000000e+00 0.000000e+00 0.000000e+00
80 0.000000e+00 0.000000e+00 0.000000e+00
81 0.000000e+00 0.000000e+00 0.000000e+00
82 0.000000e+00 0.000000e+00 0.000000e+00
83 0.000000e+00 0.000000e+00 0.000000e+00
84 0.000000e+00 0.000000e+00 0.000000e+00
85 0.000000e+00 0.000000e+00 0.000000e+00
86 0.000000e+00 0.000000e+00 0.000000e+00
87 0.000000e+00 0.000000e+00 0.000000e+00
88 0.000000e+00 0.000000e+00 0.000000e+00
89 0.000000e+00 0.000000e+00 0.000000e+00
90 0.000000e+00 0.000000e+00 0.000000e+00

time = 7.17509e-16
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 1.5587e-28
Yh_nse = 6.19673e-13
0 6.699912e-01 6.690374e-01 6.690374e-01
1 3.300000e-01 3.290668e-01 3.290668e-01
2 9.209990e-12 4.666217e-04 4.666217e-04
3 1.558692e-28 2.374052e-13 5.971587e-29
4 4.992947e-34 3.822653e-13 9.615334e-29
5 1.221750e-48 1.095487e-18 2.755539e-34
6 5.308843e-61 8.831811e-19 2.221515e-34
7 0.000000e+00 2.583321e-23 6.497973e-39
8 0.000000e+00 1.572067e-24 3.954308e-40
9 0.000000e+00 2.193799e-29 5.518187e-45
10 0.000000e+00 2.811670e-31 7.072352e-47
11 0.000000e+00 8.336407e-35 2.096903e-50
12 0.000000e+00 6.160571e-36 1.549603e-51
13 0.000000e+00 2.789751e-39 7.017217e-55
14 0.000000e+00 1.895788e-40 4.768582e-56
15 0.000000e+00 4.542393e-44 1.142574e-59
16 0.000000e+00 2.232405e-46 5.615294e-62
17 0.000000e+00 7.669627e-50 1.929184e-65
18 0.000000e+00 2.095567e-52 5.271096e-68
19 0.000000e+00 7.492750e-56 1.884693e-71
20 0.000000e+00 1.868842e-58 4.700803e-74
21 0.000000e+00 4.988211e-62 1.254713e-77
22 0.000000e+00 1.885219e-64 4.741997e-80
23 0.000000e+00 3.205751e-67 8.063604e-83
24 0.000000e+00 1.098835e-69 2.763962e-85
25 0.000000e+00 1.766092e-72 4.442349e-88
26 0.000000e+00 3.986645e-75 1.002783e-90
27 0.000000e+00 3.415780e-78 8.591902e-94
28 0.000000e+00 2.832979e-81 7.125951e-97
29 0.000000e+00 5.531576e-85 1.391388e-100
30 0.000000e+00 1.178725e-88 2.964914e-104
31 0.000000e+00 1.449822e-92 3.646819e-108
32 0.000000e+00 1.415530e-96 3.560562e-112
33 0.000000e+00 1.521341e-100 3.826714e-116
34 0.000000e+00 1.792448e-104 4.508644e-120
35 0.000000e+00 2.326997e-108 5.853225e-124
36 0.000000e+00 4.811913e-112 1.210367e-127
37 0.000000e+00 6.006813e-116 1.510927e-131
38 0.000000e+00 1.572058e-119 3.954285e-135
39 0.000000e+00 1.688922e-123 4.248240e-139
40 0.000000e+00 3.349867e-127 8.426108e-143
41 0.000000e+00 5.375171e-131 1.352047e-146
42 0.000000e+00 9.421873e-135 2.369937e-150
43 0.000000e+00 1.263442e-138 3.178007e-154
44 0.000000e+00 1.828052e-142 4.598201e-158
45 0.000000e+00 1.676787e-146 4.217717e-162
46 0.000000e+00 9.540836e-151 2.399860e-166
47 0.000000e+00 3.980687e-155 1.001285e-170
48 0.000000e+00 1.430582e-159 3.598422e-175
49 0.000000e+00 2.411254e-164 6.065161e-180
50 0.000000e+00 2.122474e-169 5.338777e-185
51 0.000000e+00 3.761969e-174 9.462691e-190
52 0.000000e+00 2.032322e-179 5.112013e-195
53 0.000000e+00 1.053744e-184 2.650542e-200
54 0.000000e+00 6.358560e-190 1.599404e-205
55 0.000000e+00 3.389160e-195 8.524943e-211
56 0.000000e+00 3.617725e-200 9.099868e-216
57 0.000000e+00 1.997584e-205 5.024634e-221
58 0.000000e+00 1.432343e-210 3.602852e-226
59 0.000000e+00 5.964160e-216 1.500199e-231
60 0.000000e+00 3.575726e-221 8.994225e-237
61 0.000000e+00 1.347185e-226 3.388651e-242
62 0.000000e+00 7.123419e-232 1.791793e-247
63 0.000000e+00 1.653927e-237 4.160215e-253
64 0.000000e+00 5.837742e-243 1.468400e-258
65 0.000000e+00 1.170078e-248 2.943164e-264
66 0.000000e+00 5.319701e-254 1.338094e-269
67 0.000000e+00 8.062227e-260 2.027937e-275
68 0.000000e+00 3.978330e-265 1.000692e-280
69 0.000000e+00 4.666045e-271 1.173676e-286
70 0.000000e+00 1.037874e-276 2.610623e-292
71 0.000000e+00 8.920473e-283 2.243817e-298
72 0.000000e+00 1.028014e-288 2.585822e-304
73 0.000000e+00 5.222252e-295 1.313582e-310
74 0.000000e+00 5.057969e-301 1.272259e-316
75 0.000000e+00 2.370283e-307 5.928788e-323
76 0.000000e+00 4.527173e-313 0.000000e+00
77 0.000000e+00 2.938208e-320 0.000000e+00
78 0.000000e+00 0.000000e+00 0.000000e+00
79 0.000000e+00 0.000000e+00 0.000000e+00
80 0.000000e+00 0.000000e+00 0.000000e+00
81 0.000000e+00 0.000000e+00 0.000000e+00
82 0.000000e+00 0.000000e+00 0.000000e+00
83 0.000000e+00 0.000000e+00 0.000000e+00
84 0.000000e+00 0.000000e+00 0.000000e+00
85 0.000000e+00 0.000000e+00 0.000000e+00
86 0.000000e+00 0.000000e+00 0.000000e+00
87 0.000000e+00 0.000000e+00 0.000000e+00
